模型,准确率,F1_weighted,F1_macro
混合 (规则+ML),0.9312796208530806,0.9323768840405218,0.8995991219375751
阈值优化,0.9157451290152712,0.911458132852991,0.8496967564503439
基线 LinearSVC,0.9141653501843076,0.9089392170655793,0.8470689138681232
Prior调整 (w=0.5),0.9133754607688257,0.9091487344724041,0.8449399163674579
代价敏感集成,0.907056345444971,0.9038469497316792,0.8379926029935838
级联分类器,0.9046866771985256,0.9018828220294951,0.8349190432724739
Prior调整 (w=1.0),0.8981042654028436,0.895964141613602,0.8264456179036501
Prior调整 (w=1.5),0.5800421274354923,0.6498129084924493,0.5964166199145203
Prior调整 (w=2.0),0.31121642969984203,0.31860592346340344,0.4069315584062709
